Change Component Footprint: Designator=C22 Old Footprint=WCAP-ASLI_D5H5.5 New Footprint=WCAP-ASLI_D4H5.5
Change Component Footprint: Designator=C21 Old Footprint=WCAP-ASLI_D8H10.5 New Footprint=WCAP-ASLI_D6.3H5.5
Change Component Comment : Designator=C22 Old Comment=47uF, 16V New Comment=10uF, 25V
Change Component Comment : Designator=C21 Old Comment=220uF, 25V New Comment=100uF, 16V
Change component parameters: Designator = "C22" ("C22"); Footprint = "WCAP-ASLI_D5H5.5"; UniqueID = "\LVNREOHS" ("\LVNREOHS")
Change component parameters (AddParameter): Name = "Capacitance"; Value = "10uF"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Capacitance Tolerance"; Value = "+/-20%"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Category"; Value = "Aluminum Electrolytic Capacitors"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink2Description"; Value = "Datasheet Link"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink2URL"; Value = "https://www.we-online.com/redexpert/spec/865080440002?ad"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Diameter"; Value = "4mm"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Dissipation Factor"; Value = "14%"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Endurance"; Value = "2000h"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Height"; Value = "5.5mm"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Leakage Current"; Value = "3uA"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer"; Value = "Wurth Elektronik"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer Part Number"; Value = "N/A"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Mount"; Value = "Surface Mount"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Operating Temperature Max"; Value = "105°C"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Operating Temperature Min"; Value = "-55°C"; VariantName = "[No Variations]"
